borough,room_type,superhost_n,superhost_mean,regular_n,regular_mean,lift_x,u_statistic,p_value
Brooklyn,Private room,1207,32027.872410936205,2292,5319.8368237347295,6.0204614299525465,2231231.5,3.851732134131849e-232
Brooklyn,Entire home/apt,1210,40326.75537190083,2372,11070.535834738617,3.64271034156794,2174429.0,7.620144284598574e-164
Manhattan,Entire home/apt,1804,48831.5354767184,4334,14708.960313797877,3.3198495634604117,5444708.0,3.478014053329158e-153
Manhattan,Private room,811,29009.647348951912,1948,10456.994866529774,2.774185864985412,1022041.5,2.684856369491056e-42
